,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,414,414,416,416,416,416,416,416,416,416,401,401
Reserves,"1,642","1,837","1,451","1,707","2,089","2,467","3,123","4,833","5,983","6,652","6,873","8,327"
Borrowings +,"4,684","4,089","5,317","4,619","6,079","9,045","10,113","3,936","4,337","3,358","1,874",99
Other Liabilities +,"1,301","1,298",939,"1,315",877,"1,997",880,"1,062","2,553","2,344","2,361","2,580"
Total Liabilities,"8,041","7,638","8,123","8,057","9,462","13,925","14,533","10,247","13,289","12,770","11,509","11,407"
Fixed Assets +,"3,033","2,948","1,793","1,162","1,234","6,905","6,701","6,480","6,358","6,262","6,423","6,222"
CWIP,51,119,639,"1,712","4,135",121,85,161,157,103,184,649
Investments,0,30,211,174,207,300,217,298,559,"2,377","2,431","1,372"
Other Assets +,"4,957","4,541","5,480","5,009","3,886","6,598","7,529","3,308","6,215","4,028","2,471","3,164"
Total Assets,"8,041","7,638","8,123","8,057","9,462","13,925","14,533","10,247","13,289","12,770","11,509","11,407"
