,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,90,90,90,90,90,90,91,91,91,91,91,91
Reserves,"6,842","8,784","11,073","13,407","13,487","13,652","12,446","13,712","12,062","12,374","14,199","17,112"
Borrowings +,654,537,"7,178","7,966","7,143","8,496","6,305","5,129","4,158","4,542","2,922","5,448"
Other Liabilities +,"2,550","3,642","3,957","4,749","5,300","5,423","5,968","4,498","5,340","5,794","6,539","6,554"
Total Liabilities,"10,135","13,054","22,298","26,212","26,020","27,661","24,810","23,430","21,651","22,800","23,751","29,205"
Fixed Assets +,"3,356","4,368","8,717","11,033","10,362","11,087","7,938","7,881","7,382","8,355","8,878","9,881"
CWIP,304,576,"2,702","2,133","2,598","1,640",940,"1,066","1,146","1,238",773,355
Investments,178,"1,658",16,"2,136",262,"2,295","2,374","2,455",900,517,"1,075","1,146"
Other Assets +,"6,297","6,451","10,862","10,910","12,798","12,639","13,557","12,028","12,224","12,690","13,026","17,823"
Total Assets,"10,135","13,054","22,298","26,212","26,020","27,661","24,810","23,430","21,651","22,800","23,751","29,205"
