,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,059","1,567","2,709","4,445","3,405",465,"1,436",760,711,625,733,"1,743","2,810"
Expenses +,862,"1,391","2,284","3,711","2,863",548,"1,287",877,902,925,926,"1,475","2,192"
Operating Profit,196,176,425,734,542,-83,149,-116,-191,-300,-193,269,618
OPM %,19%,11%,16%,17%,16%,-18%,10%,-15%,-27%,-48%,-26%,15%,22%
Other Income +,5,9,47,48,84,26,23,11,76,19,-65,40,113
Interest,39,46,62,98,155,171,169,244,255,283,327,248,196
Depreciation,9,12,20,35,44,52,66,80,88,89,98,110,162
Profit before tax,154,128,389,649,427,-280,-62,-430,-459,-653,-684,-49,373
Tax %,2%,-4%,24%,29%,29%,-33%,-36%,-35%,-33%,-26%,4%,7%,
Net Profit +,150,132,296,461,303,-188,-40,-279,-307,-483,-712,-53,289
EPS in Rs,9.40,1.65,3.34,5.20,3.42,-2.11,-0.45,-3.15,-3.44,-5.41,-5.43,-0.31,2.36
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
