,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,114,114,114,114,114,114,114,125,125,125,125,125
Reserves,"2,501","2,496","2,616","2,666","2,768","2,879","3,022","2,979","2,902","3,250","3,814","4,488"
Borrowings +,452,418,318,359,502,550,647,510,475,238,199,265
Other Liabilities +,637,691,556,540,680,698,658,510,635,782,906,962
Total Liabilities,"3,704","3,719","3,604","3,680","4,064","4,242","4,442","4,125","4,137","4,395","5,045","5,840"
Fixed Assets +,"2,711","2,615","2,230","2,092","2,548","2,628","3,007","2,885","2,854","2,871","2,885","3,144"
CWIP,50,93,115,321,148,79,130,169,55,96,170,308
Investments,247,254,301,288,327,428,459,411,365,384,448,548
Other Assets +,697,757,958,979,"1,042","1,107",846,659,863,"1,044","1,542","1,841"
Total Assets,"3,704","3,719","3,604","3,680","4,064","4,242","4,442","4,125","4,137","4,395","5,045","5,840"
