,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Equity Capital,"1,515","1,516","1,593","1,594","1,596","1,596","1,596","1,596","1,596","1,596","1,600","1,600"
Reserves,"12,168","13,524","15,684","8,515","9,224","9,680","8,788","6,724","6,619","7,330","9,997","11,781"
Borrowings +,"54,227","56,565","66,252","65,749","92,153","3,544",0,47,38,0,0,0
Other Liabilities +,"3,146","3,554","3,534","10,994","14,650",767,173,200,110,237,89,48
Total Liabilities,"71,056","75,159","87,062","86,851","117,623","15,587","10,558","8,568","8,362","9,164","11,686","13,429"
Fixed Assets +,"1,302","1,285","1,370","1,725","2,202","1,270",885,918,834,0,0,0
CWIP,0,1,14,29,6,0,0,0,0,0,0,0
Investments,"11,004","11,309","29,975","30,703","51,687","9,379","8,673","6,681","7,386","7,702","11,221","12,964"
Other Assets +,"58,750","62,565","55,703","54,394","63,728","4,937","1,000",969,143,"1,461",466,464
Total Assets,"71,056","75,159","87,062","86,851","117,623","15,587","10,558","8,568","8,362","9,164","11,686","13,429"
