,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,11,12,12,12,12,12,15,20,20,27,27,27
Reserves,304,607,696,835,"1,006","1,266","1,488","1,876","2,316","2,684","3,161","3,590"
Borrowings +,142,203,197,229,189,275,191,80,98,87,119,233
Other Liabilities +,237,344,397,386,468,546,595,697,952,"1,564","1,188","1,206"
Total Liabilities,694,"1,165","1,301","1,462","1,675","2,099","2,289","2,673","3,387","4,362","4,496","5,056"
Fixed Assets +,289,557,645,741,842,"1,105","1,255","1,314","1,496","1,950","2,299","2,712"
CWIP,8,27,15,25,73,81,44,57,123,126,151,116
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,397,582,641,695,759,913,990,"1,302","1,768","2,286","2,046","2,228"
Total Assets,694,"1,165","1,301","1,462","1,675","2,099","2,289","2,673","3,387","4,362","4,496","5,056"
