,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.96,0.98,2,64,73,74,75
Reserves,"3,348","3,130","2,800","5,893","9,104","9,071","9,358"
Borrowings +,450,794,"1,152","1,102",923,"1,169","1,422"
Other Liabilities +,264,432,644,"1,192","1,090","1,139","1,209"
Total Liabilities,"4,063","4,357","4,598","8,251","11,191","11,453","12,063"
Fixed Assets +,488,744,"1,053","3,052","2,995","3,354","3,887"
CWIP,1,32,77,60,23,29,33
Investments,"1,155","1,188","1,128","2,091","2,094","2,776","3,578"
Other Assets +,"2,419","2,394","2,340","3,048","6,078","5,295","4,565"
Total Assets,"4,063","4,357","4,598","8,251","11,191","11,453","12,063"
