,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,42,42,42,42,43,43,43,43,43,43,43,43
Reserves,"8,735","3,402","4,632","3,222","4,665","4,894","6,527","6,806","7,057","7,416","7,816","8,319"
Borrowings +,0,0,0,0,0,0,115,70,83,69,43,46
Other Liabilities +,941,"2,825","1,011","2,756","1,225","1,192","1,236","1,234","1,409","1,590","1,848","1,727"
Total Liabilities,"9,718","6,269","5,685","6,020","5,933","6,128","7,920","8,153","8,592","9,119","9,749","10,135"
Fixed Assets +,954,911,865,870,837,864,963,884,871,847,805,796
CWIP,13,0,5,1,3,0,0,0,4,1,3,9
Investments,0,0,10,0,0,0,0,0,0,0,0,0
Other Assets +,"8,752","5,357","4,805","5,150","5,093","5,264","6,957","7,268","7,717","8,271","8,942","9,330"
Total Assets,"9,718","6,269","5,685","6,020","5,933","6,128","7,920","8,153","8,592","9,119","9,749","10,135"
