,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,24,24,23,23,23,23,23,23,23,23,23,23
Reserves,"2,014","2,123","2,394","2,515","2,692","2,992","3,005","3,229","3,470","3,846","4,417","4,914"
Borrowings +,761,688,195,136,234,240,230,328,368,831,"1,277","1,718"
Other Liabilities +,"3,142","3,255","2,554","2,371","2,980","3,535","2,693","2,921","3,598","4,137","4,424","5,383"
Total Liabilities,"5,942","6,089","5,166","5,044","5,929","6,790","5,951","6,500","7,458","8,836","10,141","12,038"
Fixed Assets +,"1,527","1,431",827,811,973,"1,312","1,283","1,242","1,195","1,248","1,906","2,808"
CWIP,54,43,60,141,103,40,56,24,44,434,525,561
Investments,708,822,"1,050","1,083","1,472",829,875,234,"1,477","1,626","1,765","1,699"
Other Assets +,"3,654","3,793","3,228","3,009","3,381","4,609","3,737","4,999","4,742","5,528","5,945","6,971"
Total Assets,"5,942","6,089","5,166","5,044","5,929","6,790","5,951","6,500","7,458","8,836","10,141","12,038"
