,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,275","3,318","4,064","4,375","5,525","4,244","4,499","5,007","6,165","4,512","5,113","5,349","6,872"
Expenses +,"4,023","3,150","3,886","4,175","5,242","3,999","4,225","4,699","5,777","4,242","4,793","4,975","6,333"
Operating Profit,252,168,178,200,283,244,274,308,388,270,320,374,539
OPM %,6%,5%,4%,5%,5%,6%,6%,6%,6%,6%,6%,7%,8%
Other Income +,3,8,16,2,6,3,16,26,8,43,7,1,20
Interest,95,100,128,149,162,159,178,164,154,155,168,170,170
Depreciation,42,39,40,41,42,42,47,49,48,47,45,45,47
Profit before tax,118,37,27,11,86,47,66,121,193,112,113,160,342
Tax %,5%,16%,-108%,-54%,16%,9%,15%,20%,21%,22%,25%,19%,22%
Net Profit +,112,31,55,18,72,42,56,97,152,88,85,130,268
EPS in Rs,4.36,1.21,2.15,0.68,2.81,1.65,2.17,3.77,5.90,3.41,3.21,4.87,10.08
Raw PDF,,,,,,,,,,,,,
