,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,15,16,16,106,106,106,107,107,107,108,108,108
Reserves,281,640,774,"1,225","1,377","1,452","1,663","2,490","3,244","3,930","4,003","4,365"
Borrowings +,605,888,"1,094",842,980,"1,036","1,079","1,482","1,777","2,015","2,577","2,764"
Other Liabilities +,372,345,339,481,554,737,901,"1,671","1,840","1,608","1,699","2,099"
Total Liabilities,"1,273","1,888","2,224","2,653","3,017","3,331","3,750","5,751","6,968","7,660","8,387","9,336"
Fixed Assets +,499,801,"1,021","1,230","1,481","1,629","1,726","2,171","2,652","3,409","3,890","4,123"
CWIP,116,110,70,143,163,110,67,362,813,551,423,458
Investments,0,7,7,3,3,3,3,3,31,50,124,233
Other Assets +,658,970,"1,126","1,277","1,369","1,589","1,953","3,214","3,472","3,651","3,950","4,521"
Total Assets,"1,273","1,888","2,224","2,653","3,017","3,331","3,750","5,751","6,968","7,660","8,387","9,336"
