,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,24,24,26,26,27,27,28,28
Reserves,6,48,204,333,"1,151","1,438","2,470","2,918"
Borrowings +,0,9,68,119,149,106,183,82
Other Liabilities +,46,77,105,275,497,437,592,593
Total Liabilities,76,158,402,753,"1,824","2,008","3,273","3,622"
Fixed Assets +,27,57,163,361,699,786,"1,144","1,332"
CWIP,0,2,5,40,42,49,98,0
Investments,0,0,0,76,135,0,37,63
Other Assets +,49,99,234,276,948,"1,174","1,993","2,226"
Total Assets,76,158,402,753,"1,824","2,008","3,273","3,622"
