,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,"4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131"
Reserves,"37,514","39,154","39,641","36,021","32,912","32,816","35,516","37,380","41,276","50,081","50,616","52,971","53,458"
Borrowings +,"22,539","26,020","32,146","35,141","41,396","45,409","45,170","54,127","37,677","17,284","30,773","36,323","41,265"
Other Liabilities +,"22,506","24,767","26,932","26,234","29,405","33,339","33,385","31,560","35,007","48,885","45,262","47,598","40,889"
Total Liabilities,"86,689","94,072","102,849","101,527","107,843","115,694","118,201","127,198","118,090","120,381","130,782","141,022","139,742"
Fixed Assets +,"18,384","28,175","39,011","45,942","50,300","58,625","61,374","69,034","67,618","73,677","73,543","72,426","71,755"
CWIP,"36,161","33,958","29,328","24,927","23,275","18,395","16,014","8,753","8,881","4,710","4,891","6,141","6,443"
Investments,73,91,61,"2,280","2,475","2,629","2,975","3,240","3,442","3,757","4,185","4,589","4,776"
Other Assets +,"32,071","31,847","34,450","28,377","31,792","36,044","37,838","46,170","38,149","38,237","48,163","57,867","56,768"
Total Assets,"86,689","94,072","102,849","101,527","107,843","115,694","118,201","127,198","118,090","120,381","130,782","141,022","139,742"
