,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"13,616","13,595","15,338","26,776","38,198","44,928","50,345","48,583","48,967","46,638","45,375","49,617"
Expenses +,"16,088","15,160","16,851","27,561","39,900","41,204","52,445","45,510","45,816","39,709","38,619","40,837"
Operating Profit,"-2,472","-1,566","-1,512",-786,"-1,702","3,724","-2,100","3,073","3,151","6,929","6,756","8,780"
OPM %,-18%,-12%,-10%,-3%,-4%,8%,-4%,6%,6%,15%,15%,18%
Other Income +,"4,917","4,436","4,545","4,573","5,351",145,"1,754",11,618,"1,112","1,182",324
Interest,138,33,2,7,12,0,0,0,0,1,1,0
Depreciation,5,9,9,10,8,14,19,15,14,10,12,0
Profit before tax,"2,302","2,829","3,021","3,770","3,630","3,854",-366,"3,069","3,755","8,031","7,925","9,105"
Tax %,-1%,1%,11%,13%,12%,32%,-24%,41%,41%,18%,18%,23%
Net Profit +,"2,433","2,891","2,823","3,672","3,146","2,758",-186,"1,992","2,386","6,907","6,686","7,432"
EPS in Rs,282.91,336.16,3.28,4.27,17.93,15.72,-1.06,11.35,13.60,39.37,38.11,42.36
Dividend Payout %,24%,11%,19%,27%,38%,43%,0%,0%,17%,18%,26%,24%
