,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,20,20,20,23,23,23,23,23,24,24,24,27,27
Reserves,656,642,669,930,944,832,793,743,817,818,940,"2,191","2,327"
Borrowings +,128,128,125,233,372,624,896,730,847,920,353,166,498
Other Liabilities +,278,289,246,"1,493","1,356","1,210",975,775,775,903,710,832,709
Total Liabilities,"1,082","1,080","1,060","2,678","2,695","2,689","2,687","2,272","2,462","2,664","2,027","3,216","3,561"
Fixed Assets +,272,323,416,977,933,958,935,872,871,966,732,748,975
CWIP,26,11,27,13,15,27,36,-0,41,61,12,174,8
Investments,33,33,1,21,82,83,87,29,31,30,32,198,241
Other Assets +,751,712,616,"1,666","1,665","1,621","1,630","1,371","1,518","1,607","1,251","2,097","2,338"
Total Assets,"1,082","1,080","1,060","2,678","2,695","2,689","2,687","2,272","2,462","2,664","2,027","3,216","3,561"
