,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"3,851","2,729","2,606","2,650","3,954","5,685","4,281","4,645"
Expenses +,"3,105","1,941","2,167","2,052","2,785","3,719","3,366","3,556"
Operating Profit,745,788,439,598,"1,168","1,965",915,"1,089"
OPM %,19%,29%,17%,23%,30%,35%,21%,23%
Other Income +,112,78,190,199,161,172,100,50
Interest,279,56,105,113,78,117,133,155
Depreciation,299,164,192,202,205,236,286,347
Profit before tax,279,645,332,482,"1,045","1,785",595,637
Tax %,14%,-93%,43%,146%,26%,26%,27%,
Net Profit +,240,"1,246",189,-222,776,"1,323",435,456
EPS in Rs,,,17.87,-19.91,71.66,120.97,39.59,41.51
Dividend Payout %,15%,0%,0%,0%,6%,3%,8%,
