,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,38,38,38,38,38,38,38,39,39,39,39,39
Reserves,638,847,"1,560","1,865","2,182","2,681","3,182","5,028","5,198","4,331","4,779","5,152"
Borrowings +,109,264,114,89,708,"1,128","1,747",584,717,722,513,"1,258"
Other Liabilities +,432,493,718,698,"1,013",931,"1,022","1,058","1,167","1,090","1,114","1,324"
Total Liabilities,"1,217","1,641","2,429","2,689","3,941","4,778","5,989","6,709","7,122","6,183","6,446","7,773"
Fixed Assets +,397,547,708,799,993,"1,158","1,552","1,788","1,798","2,398","2,547","2,524"
CWIP,21,83,93,396,"1,010","1,551","1,846","2,183","2,304",601,524,837
Investments,3,2,87,50,42,49,18,236,118,96,93,127
Other Assets +,796,"1,009","1,541","1,444","1,896","2,019","2,573","2,502","2,902","3,087","3,281","4,285"
Total Assets,"1,217","1,641","2,429","2,689","3,941","4,778","5,989","6,709","7,122","6,183","6,446","7,773"
