,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,131,131,132,133,133,133,133,130,130,130,131,131,131
Reserves,"5,526","2,718","2,667","2,666","2,677","2,721","2,665","3,085","3,952","4,298","4,582","5,467","5,907"
Borrowings +,"5,577","3,824","3,021","2,644","1,843","1,386","1,305","1,061","1,021","2,057","3,381","1,967","2,262"
Other Liabilities +,"5,648","2,157","3,998","3,195","3,595","3,452","4,097","3,667","2,588","2,684","7,180","4,249","4,382"
Total Liabilities,"16,883","8,830","9,818","8,637","8,247","7,693","8,200","7,943","7,692","9,169","15,274","11,813","12,682"
Fixed Assets +,"8,021","4,923","4,662","3,730","3,356","3,046","1,567","1,617","2,599","2,433","4,910","4,800","4,861"
CWIP,546,115,80,34,32,17,47,83,147,"1,261",87,87,417
Investments,"1,867","1,140",805,"1,017",725,488,476,784,"1,713","2,307","1,537","1,100","1,645"
Other Assets +,"6,448","2,653","4,271","3,855","4,134","4,143","6,110","5,460","3,233","3,168","8,740","5,827","5,759"
Total Assets,"16,883","8,830","9,818","8,637","8,247","7,693","8,200","7,943","7,692","9,169","15,274","11,813","12,682"
