,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,70,70,70,70,70,77,77,77,77,77,77,77
Reserves,"1,676","1,547","1,517","1,641","1,905","2,625","2,950","3,659","4,248","4,607","5,290","6,012"
Borrowings +,"2,783","3,229","3,323","3,317","2,941","2,973","3,503","3,626","4,115","5,292","5,549","6,028"
Other Liabilities +,"1,234","1,205","1,275","1,383","1,541","1,737","2,011","2,509","2,963","3,331","3,886","4,564"
Total Liabilities,"5,764","6,051","6,185","6,411","6,456","7,413","8,542","9,872","11,403","13,307","14,802","16,682"
Fixed Assets +,"2,327","4,074","4,254","4,542","4,443","4,537","5,554","5,937","6,544","8,467","9,298","9,519"
CWIP,"1,788",337,321,127,104,574,530,509,"1,032",592,464,"1,317"
Investments,68,37,79,80,119,438,46,142,216,92,368,601
Other Assets +,"1,582","1,603","1,532","1,662","1,789","1,863","2,412","3,283","3,612","4,155","4,672","5,244"
Total Assets,"5,764","6,051","6,185","6,411","6,456","7,413","8,542","9,872","11,403","13,307","14,802","16,682"
