,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,85,85,85,85,85,169,169,169,169,169,169,169
Reserves,"1,905","1,744","2,099","1,922","1,973","1,970","1,651","1,309","2,494","1,572","1,608","1,782"
Borrowings +,4,3,2,2,1,1,0,35,20,16,19,10
Other Liabilities +,"1,136","1,384",869,995,"1,889","1,771","1,312","1,602","1,950","1,570","1,760","2,147"
Total Liabilities,"3,130","3,216","3,055","3,004","3,947","3,911","3,133","3,115","4,633","3,327","3,557","4,108"
Fixed Assets +,100,123,204,258,325,432,758,387,331,330,321,284
CWIP,62,115,268,605,923,"1,003",120,13,30,20,14,14
Investments,10,0,6,0,0,0,-0,-0,366,518,813,"1,118"
Other Assets +,"2,958","2,977","2,577","2,140","2,700","2,477","2,255","2,715","3,907","2,458","2,408","2,692"
Total Assets,"3,130","3,216","3,055","3,004","3,947","3,911","3,133","3,115","4,633","3,327","3,557","4,108"
