,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,892,794,858,879,885,934,"1,249","1,323","1,543","1,641","1,707","1,586","1,398"
Expenses +,329,311,335,330,337,363,439,412,464,506,539,417,412
Operating Profit,563,483,523,549,548,571,810,911,"1,079","1,135","1,168","1,169",986
OPM %,63%,61%,61%,62%,62%,61%,65%,69%,70%,69%,68%,74%,71%
Other Income +,1,1,7,1,0,0,-0,1,1,3,0,-0,-1
Interest,91,100,108,153,175,185,215,261,327,394,419,454,433
Depreciation,17,16,19,19,21,22,26,27,34,37,39,39,43
Profit before tax,455,367,404,377,353,364,569,624,720,708,711,676,510
Tax %,25%,25%,26%,26%,26%,26%,26%,25%,25%,26%,26%,25%,25%
Net Profit +,340,274,300,281,263,271,424,466,537,527,529,504,381
EPS in Rs,10.55,8.48,9.31,8.70,8.14,8.39,13.11,14.41,16.59,16.28,16.33,15.52,11.72
Raw PDF,,,,,,,,,,,,,
