,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,99,100,108,108,108,115,126,139,139,139,139,151
Reserves,"1,694","1,747","1,657","1,896","1,102","2,354","4,682","8,181","8,536","9,125","9,853","17,162"
Borrowings +,"2,574","3,486","3,123","3,980","3,703","3,516","3,715","4,593","5,196","6,431","10,679","12,641"
Other Liabilities +,"1,779","2,030","1,691","1,197","3,358","2,107","1,567","3,333","3,932","7,410","15,063","25,512"
Total Liabilities,"6,147","7,363","6,578","7,181","8,271","8,092","10,090","16,245","17,804","23,105","35,735","55,466"
Fixed Assets +,64,117,107,102,113,97,113,174,183,218,997,"1,273"
CWIP,62,73,1,0,71,100,163,229,340,653,250,113
Investments,0,0,664,760,"1,454","2,637","3,571","5,243","4,883","2,534","3,150","5,951"
Other Assets +,"6,021","7,173","5,807","6,319","6,633","5,259","6,243","10,599","12,397","19,700","31,337","48,128"
Total Assets,"6,147","7,363","6,578","7,181","8,271","8,092","10,090","16,245","17,804","23,105","35,735","55,466"
