,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.33,200,204,204,204,204,204,204,204,204,204,204
Reserves,580,568,672,759,831,877,932,916,"1,284","1,927","2,679","3,422"
Borrowings +,333,362,258,217,802,813,952,826,723,884,"1,627","2,428"
Other Liabilities +,242,241,424,468,692,746,813,833,931,"1,155","1,123","1,210"
Total Liabilities,"1,156","1,371","1,557","1,648","2,529","2,640","2,901","2,779","3,143","4,170","5,633","7,265"
Fixed Assets +,738,913,"1,054","1,082","1,848","1,838","2,092","1,961","1,980","2,336","2,651","4,282"
CWIP,20,20,14,53,35,56,12,20,67,259,514,70
Investments,51,52,87,96,9,17,86,120,132,252,844,"1,084"
Other Assets +,346,385,402,417,637,729,711,678,964,"1,323","1,624","1,829"
Total Assets,"1,156","1,371","1,557","1,648","2,529","2,640","2,901","2,779","3,143","4,170","5,633","7,265"
