,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,71,141,141,141,141,141,149,149,149,150,150,150
Reserves,"1,412","1,489","1,642","1,853","2,206","2,706","3,688","4,605","5,394","6,487","8,037","9,675"
Borrowings +,458,546,796,856,800,272,157,282,118,109,161,202
Other Liabilities +,823,"1,138","1,296","1,729","1,300","2,509","1,967","1,978","1,750","2,678","3,718","3,745"
Total Liabilities,"2,763","3,314","3,875","4,579","4,448","5,628","5,961","7,015","7,412","9,424","12,066","13,773"
Fixed Assets +,750,822,985,"1,128","1,197","1,276","1,422","1,870","1,675","2,067","2,338","3,011"
CWIP,116,179,138,165,136,193,241,99,375,251,578,708
Investments,0,0,0,33,32,29,65,635,773,"1,350","1,822","1,749"
Other Assets +,"1,897","2,312","2,752","3,253","3,083","4,130","4,232","4,411","4,588","5,756","7,328","8,304"
Total Assets,"2,763","3,314","3,875","4,579","4,448","5,628","5,961","7,015","7,412","9,424","12,066","13,773"
