,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,38,38,38,38,38,38,38,38,38,38,40,40
Reserves,658,691,815,998,"1,070","1,164","1,128","1,361","1,677","2,198","3,836","4,463"
Borrowings +,792,494,384,305,363,253,372,325,359,376,476,585
Other Liabilities +,"1,510","1,732","1,680","2,107","2,805","3,501","3,116","3,275","4,533","5,605","5,264","6,175"
Total Liabilities,"2,998","2,956","2,919","3,448","4,276","4,957","4,654","4,999","6,608","8,218","9,616","11,264"
Fixed Assets +,359,395,398,574,649,709,885,878,881,950,"1,193","1,543"
CWIP,18,10,56,28,20,103,55,29,38,99,122,128
Investments,2,5,112,119,0,187,0,60,31,54,11,219
Other Assets +,"2,620","2,546","2,352","2,728","3,608","3,958","3,714","4,032","5,657","7,114","8,290","9,373"
Total Assets,"2,998","2,956","2,919","3,448","4,276","4,957","4,654","4,999","6,608","8,218","9,616","11,264"
