,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,18,18,18,18,18,37,37,37,37,37,37,37
Reserves,716,762,883,"1,071","1,126","1,290","1,192","1,392","1,407","1,512","1,772","2,013"
Borrowings +,534,569,451,498,544,281,283,168,171,47,51,61
Other Liabilities +,386,468,417,266,291,335,325,359,408,466,542,580
Total Liabilities,"1,654","1,817","1,770","1,853","1,979","1,942","1,836","1,956","2,023","2,062","2,401","2,691"
Fixed Assets +,"1,094","1,074","1,068","1,097","1,091","1,101","1,149","1,147","1,122","1,116","1,125","1,141"
CWIP,4,16,8,9,15,14,24,10,8,15,13,22
Investments,61,194,86,28,113,104,0,0,0,0,192,456
Other Assets +,494,533,608,719,760,723,662,799,893,930,"1,071","1,071"
Total Assets,"1,654","1,817","1,770","1,853","1,979","1,942","1,836","1,956","2,023","2,062","2,401","2,691"
