,Sep 2013,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,"3,651","4,535","7,220","8,637","9,734","10,833","12,210","13,409","14,028","14,703","16,699","18,484"
Borrowings +,"1,599","1,903","2,464","2,333","2,163","2,506","1,854","2,388","3,229","3,014","2,822","3,771"
Other Liabilities +,"3,023","3,391","3,566","4,075","4,577","5,098","5,373","6,780","5,799","6,648","7,325","7,307"
Total Liabilities,"8,278","9,833","13,254","15,048","16,478","18,441","19,442","22,582","23,060","24,369","26,849","29,567"
Fixed Assets +,"2,974","3,436","4,608","5,502","6,092","6,786","8,870","9,441","9,522","10,118","12,046","13,221"
CWIP,359,628,"1,059",848,"1,079","1,403","1,741","1,002","1,233","3,046","2,385","1,169"
Investments,904,"1,081","3,138","3,382","4,145","3,855","1,519","5,874","3,656","3,085","3,383","4,548"
Other Assets +,"4,041","4,688","4,448","5,316","5,162","6,397","7,312","6,265","8,648","8,120","9,036","10,629"
Total Assets,"8,278","9,833","13,254","15,048","16,478","18,441","19,442","22,582","23,060","24,369","26,849","29,567"
