,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Equity Capital,11,11,11,11,11,11,11
Reserves,"1,055","1,422","1,740","1,899","2,172","1,666","2,136"
Borrowings +,10,14,42,23,25,27,18
Other Liabilities +,"1,234",672,578,718,798,"1,010","1,083"
Total Liabilities,"2,311","2,118","2,371","2,652","3,006","2,714","3,248"
Fixed Assets +,303,286,306,266,307,338,332
CWIP,6,12,7,24,23,25,12
Investments,0,0,0,0,0,0,0
Other Assets +,"2,001","1,820","2,058","2,362","2,676","2,352","2,903"
Total Assets,"2,311","2,118","2,371","2,652","3,006","2,714","3,248"
