,Mar 2024,Mar 2025
Promoters +,47.12%,47.12%
FIIs +,19.45%,11.66%
DIIs +,12.50%,14.21%
Government +,0.14%,0.17%
Public +,20.77%,26.83%
No. of Shareholders,"43,99,041","52,59,483"
