,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,311,509,509,498,498,498,498,510,510,510,510,510
Reserves,617,947,"1,927","2,259","2,228","2,475","2,523","2,819","3,335","3,683","3,806","4,111"
Borrowings +,"1,862","2,580","3,503","2,849","2,798","2,436","1,991","1,562","1,597","1,442","2,126","1,635"
Other Liabilities +,391,472,591,578,639,747,764,881,"1,048","1,194","1,122",904
Total Liabilities,"3,181","4,507","6,529","6,184","6,163","6,156","5,776","5,772","6,489","6,829","7,563","7,161"
Fixed Assets +,"1,796","2,864","4,693","4,345","3,902","3,717","3,681","3,791","3,713","4,094","4,608","4,458"
CWIP,36,222,62,123,177,132,145,64,83,368,88,49
Investments,115,31,72,105,115,198,128,1,2,0,49,0
Other Assets +,"1,234","1,390","1,702","1,611","1,969","2,109","1,822","1,915","2,691","2,366","2,819","2,653"
Total Assets,"3,181","4,507","6,529","6,184","6,163","6,156","5,776","5,772","6,489","6,829","7,563","7,161"
