,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,10,20,20,20,20,20,24,24,24,24,24,24
Reserves,227,280,323,336,397,625,680,722,873,"1,006","1,144","1,327"
Borrowings +,323,502,536,522,573,781,627,845,"1,388","1,703","2,127","2,630"
Other Liabilities +,496,451,639,471,445,580,678,873,944,807,"1,570","1,869"
Total Liabilities,"1,055","1,254","1,519","1,350","1,435","2,006","2,009","2,464","3,229","3,540","4,865","5,850"
Fixed Assets +,470,692,711,583,558,834,861,930,"1,213","1,540","1,729","1,754"
CWIP,79,12,27,35,63,70,90,300,180,268,131,39
Investments,13,16,16,76,91,48,54,54,49,74,79,94
Other Assets +,494,534,764,656,723,"1,054","1,004","1,179","1,788","1,657","2,926","3,962"
Total Assets,"1,055","1,254","1,519","1,350","1,435","2,006","2,009","2,464","3,229","3,540","4,865","5,850"
