Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,849,"1,075","1,237","1,386","1,597","1,610","1,826","2,471","3,145","3,552","3,729","3,757"
Expenses+,672,827,964,"1,039","1,181","1,266","1,303","1,704","2,182","2,505","2,755","2,909"
Operating Profit,177,248,274,347,416,344,524,767,962,"1,047",974,848
OPM %,21%,23%,22%,25%,26%,21%,29%,31%,31%,29%,26%,23%
Other Income+,4,12,18,43,43,58,40,45,74,122,179,88
Interest,1,1,1,1,1,7,7,10,17,21,20,18
Depreciation,25,23,27,25,25,43,44,55,81,99,105,94
Profit before tax,156,236,264,364,433,352,512,745,938,"1,049","1,028",825
Tax %,34%,34%,34%,34%,33%,27%,28%,26%,19%,24%,24%,24%
Net Profit+,103,155,175,240,290,256,368,550,755,792,785,628
EPS in Rs,16.52,24.85,28.05,38.54,46.56,41.12,59.11,88.26,121.26,127.21,126.03,100.88
Dividend Payout %,33%,28%,29%,29%,29%,40%,81%,48%,50%,55%,60%,74%
