,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,64,64,129,129,129,129,129,129,129,129,129,129
Reserves,"1,296","1,760","1,888","2,197","2,414","2,846","2,894","3,111","3,219","3,670","3,703","3,846"
Borrowings +,680,428,331,239,312,352,338,511,479,608,528,554
Other Liabilities +,925,873,"1,010","1,059","1,217","1,569","1,603","1,675","1,850","2,393","2,993","3,809"
Total Liabilities,"2,965","3,125","3,358","3,623","4,072","4,896","4,964","5,426","5,677","6,800","7,353","8,338"
Fixed Assets +,888,"1,076","1,050","1,085","1,110","1,300","1,396","1,612","1,760","2,246","2,724","2,758"
CWIP,4,3,37,11,27,45,58,24,39,67,44,40
Investments,311,284,544,608,543,450,733,854,828,"1,096",602,"1,590"
Other Assets +,"1,762","1,763","1,727","1,919","2,392","3,101","2,777","2,936","3,050","3,391","3,983","3,950"
Total Assets,"2,965","3,125","3,358","3,623","4,072","4,896","4,964","5,426","5,677","6,800","7,353","8,338"
