,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,337,423,524,470,842,420,431,435,457,484,522,"1,702","1,751"
Expenses +,15,23,40,42,215,65,85,134,106,117,142,140,173
Operating Profit,322,400,484,429,628,355,347,301,352,367,380,"1,562","1,578"
OPM %,95%,94%,92%,91%,75%,85%,80%,69%,77%,76%,73%,92%,90%
Other Income +,3,5,35,7,8,"2,390","2,827","3,058","3,451","3,896","4,673","5,967","6,147"
Interest,0,0,0,0,0,0,0,13,4,3,7,2,2
Depreciation,2,5,6,5,5,5,4,33,34,34,34,34,34
Profit before tax,322,400,513,430,630,"2,739","3,170","3,314","3,766","4,226","5,012","7,493","7,690"
Tax %,21%,20%,19%,21%,21%,3%,4%,7%,3%,2%,1%,2%,
Net Profit +,"1,856","1,988","2,029","2,265","2,473","2,655","3,048","3,080","3,654","4,126","4,946","7,365","7,591"
EPS in Rs,166.80,178.59,182.33,203.54,222.22,238.54,273.90,268.84,327.95,364.41,435.83,652.98,674.90
Dividend Payout %,15%,17%,19%,16%,15%,17%,12%,15%,12%,32%,28%,20%,
