,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"5,816","5,555","6,184","6,746","7,171","7,259","7,377","7,842","8,371","8,367","8,235","8,542","8,653"
Interest,"3,381","3,397","3,421","3,444","3,643","4,062","4,338","4,672","4,811","4,801","4,807","4,984","5,238"
Expenses +,"2,303","2,671","3,039","3,401","4,043","3,118","3,534","3,377","3,561","3,920","3,500","3,373","4,067"
Financing Profit,132,-513,-276,-99,-514,79,-495,-207,-1,-354,-71,185,-652
Financing Margin %,2%,-9%,-4%,-1%,-7%,1%,-7%,-3%,-0%,-4%,-1%,2%,-8%
Other Income +,277,832,909,919,"1,424",959,"1,062","1,329","1,363","1,166","1,649","1,232","1,823"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,409,319,633,820,910,"1,038",567,"1,122","1,363",812,"1,578","1,418","1,171"
Tax %,22%,24%,49%,43%,37%,59%,-7%,35%,40%,-9%,42%,32%,11%
Net Profit +,345,276,344,476,592,498,623,738,817,945,926,966,"1,106"
EPS in Rs,0.39,0.31,0.39,0.55,0.68,0.57,0.72,0.85,0.94,1.09,1.06,1.11,1.22
Gross NPA %,14.78%,14.84%,9.64%,8.83%,8.41%,4.95%,4.61%,4.50%,4.50%,4.54%,4.59%,3.87%,3.18%
Net NPA %,3.96%,3.93%,2.95%,2.09%,1.77%,1.75%,1.64%,1.28%,1.24%,0.75%,0.70%,0.61%,0.56%
Raw PDF,,,,,,,,,,,,,
