,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,103",857,"1,044",938,785,"1,209","1,373","1,545","1,537","1,402","1,406","1,384","1,425"
Expenses +,755,587,748,649,617,915,"1,049","1,189","1,179","1,137","1,109","1,024","1,077"
Operating Profit,348,270,297,290,168,294,324,356,359,264,297,360,348
OPM %,32%,32%,28%,31%,21%,24%,24%,23%,23%,19%,21%,26%,24%
Other Income +,65,74,66,62,-18,38,53,37,42,51,60,58,44
Interest,2,1,2,3,2,5,6,5,10,6,6,23,7
Depreciation,31,35,37,38,38,65,81,105,93,92,94,96,96
Profit before tax,380,308,324,311,111,261,290,283,298,218,257,299,288
Tax %,25%,26%,26%,25%,29%,26%,33%,32%,35%,34%,36%,32%,35%
Net Profit +,286,229,241,232,79,194,194,192,192,144,164,205,187
EPS in Rs,17.40,13.92,14.65,14.08,4.78,11.79,11.78,11.65,11.68,8.73,9.93,12.42,11.32
Raw PDF,,,,,,,,,,,,,
