,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,171,68,88,112,185,90,108,140,182,104,91,117,396
Expenses +,83,47,58,65,112,62,68,79,89,67,57,63,247
Operating Profit,87,21,30,47,73,28,41,60,93,37,34,54,149
OPM %,51%,31%,34%,42%,40%,31%,38%,43%,51%,36%,38%,46%,38%
Other Income +,3,2,2,2,4,12,11,11,12,12,12,11,11
Interest,4,2,1,2,3,2,2,2,3,3,3,3,3
Depreciation,2,2,2,2,2,3,3,3,7,3,3,3,4
Profit before tax,85,19,29,45,72,35,46,66,95,43,40,59,153
Tax %,27%,27%,27%,25%,23%,26%,27%,22%,25%,25%,24%,24%,25%
Net Profit +,62,14,21,33,55,26,34,51,71,33,30,45,114
EPS in Rs,11.88,2.74,4.06,6.42,9.89,4.61,6.04,9.10,12.70,5.86,5.41,7.98,20.38
Raw PDF,,,,,,,,,,,,,
