,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,764,760,835,903,965,"1,013","1,187","1,141","1,108","1,508","1,847","2,822","3,261"
Expenses +,697,700,768,834,892,925,"1,077","1,050","1,009","1,357","1,647","2,453","2,861"
Operating Profit,67,61,67,68,73,88,110,91,98,151,201,369,400
OPM %,9%,8%,8%,8%,8%,9%,9%,8%,9%,10%,11%,13%,12%
Other Income +,4,4,25,7,10,22,21,26,17,11,15,45,60
Interest,1,4,5,5,4,2,3,10,10,10,17,69,77
Depreciation,11,18,19,21,24,24,27,35,34,40,52,118,120
Profit before tax,59,43,68,50,56,82,100,73,72,113,147,227,262
Tax %,31%,30%,31%,31%,28%,31%,31%,19%,28%,27%,24%,26%,
Net Profit +,41,30,47,34,40,57,69,59,51,82,111,167,201
EPS in Rs,6.02,4.43,6.60,4.66,5.06,7.15,9.67,8.52,6.91,10.18,13.63,19.10,24.01
Dividend Payout %,20%,27%,21%,20%,19%,28%,31%,35%,43%,34%,33%,29%,
