,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,591,705,747,791,755,847,819,843,"1,047","1,222","1,222","1,294","1,213"
Expenses +,451,540,581,617,604,721,665,697,917,"1,006","1,026","1,081","1,027"
Operating Profit,140,165,166,174,151,126,154,146,130,216,196,213,186
OPM %,24%,23%,22%,22%,20%,15%,19%,17%,12%,18%,16%,16%,15%
Other Income +,-0,9,-7,-1,11,7,-7,5,14,10,5,9,13
Interest,32,33,35,38,42,40,42,48,57,63,65,67,70
Depreciation,65,64,66,71,78,80,86,93,126,132,139,147,152
Profit before tax,42,77,59,65,41,13,19,10,-38,31,-4,9,-22
Tax %,-79%,3%,3%,-10%,-45%,112%,-88%,48%,29%,27%,26%,190%,-25%
Net Profit +,76,75,57,71,60,-2,36,5,-49,22,-5,-8,-17
EPS in Rs,0.63,0.61,0.49,0.59,0.50,0.10,0.28,0.08,-0.06,0.25,-0.01,-0.00,-0.12
Raw PDF,,,,,,,,,,,,,
