,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,364.63,408.05,420.00,424.68,441.71,460.68,486.94,469.87,494.63,525.58,553.54,558.57,585.16
Expenses +,301.48,335.89,345.31,349.18,365.40,386.37,402.32,391.26,402.60,434.68,451.30,470.19,479.53
Operating Profit,63.15,72.16,74.69,75.50,76.31,74.31,84.62,78.61,92.03,90.90,102.24,88.38,105.63
OPM %,17.32%,17.68%,17.78%,17.78%,17.28%,16.13%,17.38%,16.73%,18.61%,17.30%,18.47%,15.82%,18.05%
Other Income +,3.01,2.91,1.97,3.65,4.65,2.77,3.40,6.07,9.01,8.81,11.13,5.54,10.23
Interest,24.14,24.98,25.81,27.08,25.63,25.55,26.89,29.46,26.84,33.71,35.98,40.70,44.17
Depreciation,41.10,39.67,40.83,40.77,42.20,41.01,43.21,44.16,45.98,47.01,49.74,56.52,58.07
Profit before tax,0.92,10.42,10.02,11.30,13.13,10.52,17.92,11.06,28.22,18.99,27.65,-3.30,13.62
Tax %,-144.57%,76.20%,47.21%,62.83%,56.97%,65.30%,39.84%,68.99%,16.87%,28.23%,25.21%,-334.85%,50.29%
Net Profit +,2.25,2.48,5.29,4.20,5.65,3.65,10.78,3.43,23.46,13.63,20.68,7.75,6.77
EPS in Rs,0.43,0.44,0.53,0.54,0.60,0.55,0.97,0.41,1.53,0.87,1.29,0.50,0.53
Raw PDF,,,,,,,,,,,,,
