,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,404,431,397,431,513,843,"1,767","1,867","2,009","2,255","2,328","2,709"
Expenses +,319,331,305,331,387,658,"1,446","1,522","1,664","1,918","2,020","2,329"
Operating Profit,85,100,91,99,125,185,321,344,345,337,308,380
OPM %,21%,23%,23%,23%,24%,22%,18%,18%,17%,15%,13%,14%
Other Income +,19,28,32,32,35,28,-33,-123,10,-5,-0,20
Interest,0,0,0,1,2,30,140,84,26,16,24,12
Depreciation,0,8,7,7,9,13,26,25,24,25,24,28
Profit before tax,104,120,117,124,150,171,121,112,306,291,260,359
Tax %,5%,7%,10%,10%,9%,-0%,-17%,-6%,-1%,-7%,-3%,3%
Net Profit +,98,111,105,111,137,171,142,119,309,310,267,347
EPS in Rs,24.69,27.88,26.43,27.89,34.27,29.33,24.58,18.66,48.54,48.78,41.94,54.52
Dividend Payout %,24%,22%,25%,23%,23%,17%,20%,27%,10%,10%,12%,11%
