,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,111.25,142.80,159.63,134.00,93.06,124.27,130.89,109.97,96.14,128.41,138.53,133.98,104.55
Expenses +,93.52,125.57,136.55,114.95,80.03,105.01,111.61,95.10,80.95,111.63,122.89,120.80,93.99
Operating Profit,17.73,17.23,23.08,19.05,13.03,19.26,19.28,14.87,15.19,16.78,15.64,13.18,10.56
OPM %,15.94%,12.07%,14.46%,14.22%,14.00%,15.50%,14.73%,13.52%,15.80%,13.07%,11.29%,9.84%,10.10%
Other Income +,0.24,0.94,0.61,1.07,1.54,0.64,1.09,2.87,3.08,3.14,6.89,4.79,4.99
Interest,3.03,2.13,2.21,1.82,1.58,1.92,1.76,1.28,1.18,0.78,0.94,1.40,2.09
Depreciation,3.32,2.92,2.95,2.94,2.89,2.74,2.95,2.92,2.65,2.62,2.61,2.85,2.79
Profit before tax,11.62,13.12,18.53,15.36,10.10,15.24,15.66,13.54,14.44,16.52,18.98,13.72,10.67
Tax %,0.00%,-33.16%,0.00%,-4.69%,35.94%,71.92%,27.91%,30.06%,26.04%,24.76%,26.19%,27.55%,29.99%
Net Profit +,11.62,17.46,18.53,16.09,6.47,4.27,11.29,9.48,10.68,12.43,14.02,9.94,7.47
EPS in Rs,6.56,9.86,10.47,9.08,3.65,2.34,6.20,4.59,5.17,5.64,6.36,4.51,3.36
Raw PDF,,,,,,,,,,,,,
