,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,272,184,200,117,127,143,111,51,154,69,99,94,120
Expenses +,207,159,166,105,122,140,114,69,141,116,118,100,114
Operating Profit,65,25,33,12,5,3,-3,-18,13,-46,-20,-6,6
OPM %,24%,14%,17%,10%,4%,2%,-3%,-36%,8%,-67%,-20%,-6%,5%
Other Income +,7,3,4,4,3,2,1,1,2,1,2,2,1
Interest,3,4,5,6,6,6,6,6,7,7,9,10,10
Depreciation,11,9,8,9,8,9,9,9,9,9,11,11,12
Profit before tax,58,15,25,1,-6,-11,-18,-32,-1,-62,-39,-25,-16
Tax %,26%,25%,25%,31%,-20%,-26%,-24%,-24%,4%,-36%,0%,61%,3%
Net Profit +,43,11,18,1,-5,-8,-13,-24,-1,-40,-39,-40,-16
EPS in Rs,21.97,5.82,9.34,0.43,-2.54,-4.18,-6.85,-12.41,-0.49,-20.25,-19.66,-20.59,-8.20
Raw PDF,,,,,,,,,,,,,
