,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,218,229,247,270,158,177,144,163,254,277,385,305
Expenses +,16,17,19,32,19,30,42,20,25,32,33,39
Operating Profit,202,213,229,237,139,147,102,144,229,246,352,266
OPM %,93%,93%,92%,88%,88%,83%,71%,88%,90%,88%,91%,87%
Other Income +,2,0,0,0,8,0,0,25,18,36,65,104
Interest,0,0,0,0,0,0,0,0,0,8,11,0
Depreciation,0,0,0,0,0,0,1,1,1,1,1,2
Profit before tax,204,213,229,237,147,147,101,167,246,272,406,368
Tax %,14%,14%,14%,16%,11%,9%,11%,8%,13%,8%,5%,15%
Net Profit +,186,186,194,200,131,134,90,155,214,252,385,312
EPS in Rs,33.81,33.73,35.28,36.37,23.79,26.44,17.89,30.43,42.34,49.78,76.09,61.68
Dividend Payout %,50%,50%,48%,49%,84%,76%,101%,79%,130%,96%,37%,44%
