,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,560,597,885,432,492,898,"1,140","1,031",759,"1,068","1,363","1,371",475
Expenses +,459,615,489,337,387,559,612,573,490,571,558,567,436
Operating Profit,102,-19,395,95,106,339,528,458,268,497,805,804,39
OPM %,18%,-3%,45%,22%,22%,38%,46%,44%,35%,47%,59%,59%,8%
Other Income +,30,14,34,20,21,29,20,29,37,42,48,64,176
Interest,5,7,4,4,4,3,4,4,5,6,5,4,4
Depreciation,36,38,40,42,42,41,44,44,44,56,44,46,47
Profit before tax,91,-50,386,70,81,324,500,440,256,478,804,818,164
Tax %,12%,2%,17%,19%,23%,15%,16%,16%,17%,19%,17%,17%,19%
Net Profit +,80,-50,320,57,62,276,420,369,213,386,668,676,132
EPS in Rs,4.41,-2.77,17.55,3.11,3.41,15.11,23.47,20.60,11.88,21.57,37.32,37.81,7.43
Raw PDF,,,,,,,,,,,,,
