,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,002",881,"1,106","1,166","1,356","1,135","1,409","1,154",591,924,"1,822","2,196","2,307"
Expenses +,932,850,"1,036","1,079","1,246","1,090","1,335","1,142",660,965,"1,740","2,017","2,092"
Operating Profit,70,32,69,87,110,45,74,12,-69,-41,82,179,215
OPM %,7%,4%,6%,7%,8%,4%,5%,1%,-12%,-4%,4%,8%,9%
Other Income +,9,5,5,6,4,3,4,5,5,6,3,5,6
Interest,19,6,6,5,6,11,16,15,23,22,25,30,32
Depreciation,12,13,20,20,24,28,38,41,46,44,42,48,48
Profit before tax,48,18,49,68,84,9,24,-38,-133,-100,17,106,142
Tax %,25%,2%,24%,25%,25%,10%,20%,-45%,0%,-1%,-15%,-1%,
Net Profit +,36,17,37,51,63,8,20,-21,-133,-100,20,108,121
EPS in Rs,25.17,12.02,25.53,35.35,43.54,5.87,13.52,-14.55,-92.24,-68.94,13.71,74.55,83.64
Dividend Payout %,32%,25%,24%,23%,18%,26%,22%,0%,0%,0%,0%,21%,
