,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"32,885","28,142","23,931","12,607","11,825","16,450","29,439","26,304","30,000","11,795","3,527",3,3
Expenses +,"32,808","28,001","23,931","12,668","11,937","16,428","29,256","26,436","30,045","11,338","3,634",165,147
Operating Profit,78,141,0,-62,-112,23,183,-132,-45,457,-107,-162,-144
OPM %,0%,0%,0%,-0%,-1%,0%,1%,-0%,-0%,4%,-3%,"-4,800%","-4,652%"
Other Income +,77,31,168,5,136,49,36,-8,-859,-126,"2,000",368,318
Interest,253,87,40,31,23,18,68,144,203,225,122,1,1
Depreciation,17,17,24,6,7,5,6,6,6,5,5,4,4
Profit before tax,-116,67,105,-94,-6,48,146,-291,"-1,112",101,"1,766",200,169
Tax %,-46%,11%,26%,3%,435%,21%,25%,0%,-29%,355%,12%,4%,
Net Profit +,-111,-18,-42,-97,-30,38,109,-292,-789,-258,"1,562",192,154
EPS in Rs,-0.74,-0.12,-0.28,-0.64,-0.20,0.25,0.72,-1.94,-5.26,-1.72,10.42,1.28,1.03
Dividend Payout %,-9%,-83%,-59%,-31%,-101%,80%,41%,0%,0%,0%,0%,0%,
