,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,565,780,670,628,586,471,464,381,383,414,385,347,313
Expenses +,410,584,455,455,458,378,366,327,309,316,319,286,267
Operating Profit,155,196,215,173,128,93,98,54,74,98,66,61,46
OPM %,27%,25%,32%,27%,22%,20%,21%,14%,19%,24%,17%,17%,15%
Other Income +,4,5,5,3,3,6,6,7,8,9,8,9,8
Interest,4,7,3,2,3,3,2,2,2,1,1,1,1
Depreciation,10,11,11,11,12,11,11,11,11,12,12,12,12
Profit before tax,145,183,205,162,115,85,90,48,70,93,62,57,41
Tax %,30%,29%,28%,27%,27%,35%,25%,24%,21%,22%,26%,27%,24%
Net Profit +,102,131,148,119,84,55,68,36,56,72,46,41,31
EPS in Rs,27.64,33.55,37.95,28.57,19.31,14.63,16.27,10.71,15.24,21.00,13.36,12.65,10.24
Raw PDF,,,,,,,,,,,,,
