,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"9,120","12,003","13,838","13,447","15,311","12,766","15,155","18,101","18,346","16,856","15,674","16,763","16,742"
Expenses +,"8,671","11,171","12,836","12,333","13,918","11,612","13,201","16,275","16,649","15,276","14,563","15,694","15,571"
Operating Profit,449,831,"1,002","1,114","1,393","1,154","1,954","1,826","1,697","1,580","1,111","1,070","1,171"
OPM %,5%,7%,7%,8%,9%,9%,13%,10%,9%,9%,7%,6%,7%
Other Income +,15,48,6,154,203,147,130,23,8,23,46,75,112
Interest,108,228,422,633,802,946,"1,243","1,159",926,757,472,431,378
Depreciation,8,9,8,10,21,97,97,100,100,101,10,10,9
Profit before tax,348,642,577,624,772,258,744,589,679,745,675,703,895
Tax %,30%,30%,32%,35%,34%,36%,34%,31%,33%,26%,25%,24%,
Net Profit +,238,442,326,406,506,165,490,406,458,552,507,533,701
EPS in Rs,6.70,12.19,8.66,10.90,14.01,6.75,14.37,12.42,15.16,17.10,15.05,16.11,21.62
Dividend Payout %,24%,16%,25%,23%,21%,59%,28%,44%,49%,46%,52%,48%,
