,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,112,145,167,196,252,296,337,426,385,372,476,540,530
Expenses +,99,134,152,174,209,248,291,381,332,338,411,464,480
Operating Profit,13,12,15,21,43,48,46,45,54,34,65,76,49
OPM %,11%,8%,9%,11%,17%,16%,14%,11%,14%,9%,14%,14%,9%
Other Income +,0,0,11,13,3,7,18,29,19,13,13,16,17
Interest,1,2,3,2,3,2,4,4,3,8,9,7,7
Depreciation,3,4,7,7,9,11,13,17,17,24,27,30,30
Profit before tax,9,6,16,25,34,41,47,53,53,14,41,56,30
Tax %,32%,31%,35%,34%,36%,36%,36%,23%,25%,29%,26%,25%,
Net Profit +,6,4,11,16,22,26,30,41,39,10,30,42,22
EPS in Rs,24.67,16.87,42.05,62.82,85.70,103.12,117.15,159.24,153.31,40.26,117.73,161.81,85.62
Dividend Payout %,4%,6%,2%,3%,2%,2%,2%,1%,1%,2%,2%,1%,
