,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,34,127,102,81,51,164,145,305,220,399,362,346,345
Expenses +,30,111,87,64,35,135,108,258,157,320,287,240,275
Operating Profit,4,15,15,17,15,29,37,47,63,79,75,107,69
OPM %,11%,12%,15%,21%,30%,18%,25%,15%,29%,20%,21%,31%,20%
Other Income +,0,1,1,0,1,3,0,0,7,1,1,0,1
Interest,0,5,2,4,6,12,10,15,32,27,36,76,47
Depreciation,0,1,4,5,7,10,13,0,20,24,2,6,7
Profit before tax,3,11,10,9,4,11,14,32,17,29,38,25,16
Tax %,24%,22%,0%,10%,151%,30%,31%,44%,31%,31%,31%,8%,-12%
Net Profit +,2,9,10,8,-2,7,10,18,12,20,27,23,18
EPS in Rs,0.71,2.68,3.04,2.15,-0.52,1.99,2.79,4.83,3.37,6.41,8.45,7.73,4.45
Raw PDF,,,,,,,,,,,,,
