,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,611,189,547,898,854,173,68,449,40,48,401,505,639
Expenses +,575,379,463,750,818,194,111,503,113,50,350,419,527
Operating Profit,36,-190,85,147,36,-20,-43,-54,-73,-2,52,86,112
OPM %,6%,-101%,15%,16%,4%,-12%,-64%,-12%,-182%,-3%,13%,17%,18%
Other Income +,2,39,76,61,29,-2,5,45,3,11,39,44,44
Interest,123,114,122,122,125,124,125,124,126,130,2,2,3
Depreciation,7,7,7,7,7,7,7,5,5,4,4,4,5
Profit before tax,-91,-273,33,79,-67,-152,-170,-137,-201,-124,85,123,148
Tax %,-19%,-37%,-129%,-9%,-9%,98%,1%,1%,-1%,-2%,-84%,-45%,0%
Net Profit +,-74,-173,74,86,-61,-302,-172,-138,-198,-122,156,179,148
EPS in Rs,-0.16,-0.37,0.16,0.18,-0.13,-0.65,-0.37,-0.30,-0.43,-0.26,0.34,0.38,0.25
Raw PDF,,,,,,,,,,,,,
