,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,377,389,400,420,399,409,455,404,484,464,533,491,614
Expenses +,329,330,357,368,367,354,366,314,393,370,423,378,481
Operating Profit,48,59,43,52,32,55,89,90,91,94,110,113,133
OPM %,13%,15%,11%,12%,8%,13%,20%,22%,19%,20%,21%,23%,22%
Other Income +,21,4,9,6,3,6,7,6,8,3,4,2,15
Interest,8,10,15,20,23,24,25,24,25,22,22,22,23
Depreciation,20,22,26,30,31,31,31,32,30,32,32,32,35
Profit before tax,41,30,11,8,-19,6,40,39,44,43,61,61,90
Tax %,26%,26%,30%,31%,-21%,30%,25%,26%,28%,27%,26%,27%,29%
Net Profit +,30,22,8,6,-15,5,30,29,32,31,45,44,64
EPS in Rs,7.65,5.72,2.02,1.44,-3.50,1.18,7.80,7.36,7.93,8.02,11.42,11.37,17.01
Raw PDF,,,,,,,,,,,,,
