,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,452,514,399,429,459,421,428,439,437,381,359,438,503
Expenses +,396,440,392,408,414,369,380,382,392,351,329,395,449
Operating Profit,55,74,7,21,45,51,48,57,46,30,30,43,54
OPM %,12%,14%,2%,5%,10%,12%,11%,13%,10%,8%,8%,10%,11%
Other Income +,8,4,-10,15,6,6,8,6,19,32,10,5,13
Interest,17,18,19,15,15,16,18,17,17,16,17,16,19
Depreciation,16,17,17,18,17,18,18,19,19,19,19,19,21
Profit before tax,30,44,-39,3,20,23,20,27,29,26,4,13,27
Tax %,42%,36%,-31%,83%,22%,36%,41%,41%,41%,35%,10%,40%,37%
Net Profit +,17,28,-27,1,16,15,12,16,17,17,3,8,17
EPS in Rs,6.36,10.22,-9.86,0.19,5.68,5.34,4.29,5.80,6.28,6.20,1.19,2.84,6.15
Raw PDF,,,,,,,,,,,,,
