,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,41,33,33,36,48,40,42,78,83,68,85,104,77
Expenses +,21,20,19,19,30,32,20,25,26,30,28,38,21
Operating Profit,21,13,14,17,18,7,22,53,57,38,57,66,55
OPM %,50%,40%,42%,47%,37%,19%,53%,68%,69%,56%,67%,63%,72%
Other Income +,-0,4,3,1,4,1,1,0,0,7,0,0,0
Interest,1,1,1,1,2,2,1,3,4,5,5,6,3
Depreciation,0,0,0,0,0,0,0,0,0,1,1,3,2
Profit before tax,20,16,16,17,19,6,21,50,53,40,51,57,50
Tax %,26%,24%,22%,29%,26%,27%,19%,27%,27%,24%,22%,22%,19%
Net Profit +,15,12,12,12,14,4,17,37,39,31,40,44,41
EPS in Rs,2.34,1.98,2.00,1.94,2.26,0.66,2.52,5.47,5.70,4.51,5.92,5.61,5.16
Raw PDF,,,,,,,,,,,,,
