,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,004",922,850,601,504,452,555,540,615,"1,159","1,462","1,244","1,263"
Expenses +,974,918,872,568,466,422,519,491,564,"1,058","1,357","1,134","1,148"
Operating Profit,29,3,-23,33,37,30,36,49,51,100,105,110,114
OPM %,3%,0%,-3%,5%,7%,7%,6%,9%,8%,9%,7%,9%,9%
Other Income +,2,87,-20,-73,3,1,1,1,3,-0,12,-33,-33
Interest,35,37,45,43,31,27,25,22,17,15,21,21,18
Depreciation,31,32,31,18,9,9,9,11,13,13,14,15,15
Profit before tax,-35,21,-118,-101,-0,-5,2,17,25,72,82,40,48
Tax %,0%,-19%,-0%,-91%,"2,138%",3%,246%,1%,137%,26%,24%,29%,
Net Profit +,-35,25,-118,-9,-2,-5,-3,17,-9,54,62,28,33
EPS in Rs,-29.69,21.11,-99.81,-7.95,-1.50,-3.98,-2.20,11.45,-6.20,35.73,41.15,18.64,22.14
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
