,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,199,226,324,391,365,335,459,393,295,650,725,687,829
Expenses +,164,178,239,256,234,240,315,262,212,473,553,477,563
Operating Profit,36,48,85,134,131,95,144,132,83,176,171,211,266
OPM %,18%,21%,26%,34%,36%,28%,31%,33%,28%,27%,24%,31%,32%
Other Income +,17,9,15,-12,10,6,9,5,6,7,9,8,20
Interest,35,33,34,38,33,30,27,23,22,42,49,40,36
Depreciation,22,20,23,18,17,20,26,23,21,39,40,43,44
Profit before tax,-5,3,43,66,90,51,101,91,45,102,91,136,206
Tax %,29%,-325%,28%,22%,22%,17%,20%,22%,37%,23%,28%,36%,
Net Profit +,-7,12,31,51,70,42,81,71,28,78,66,87,144
EPS in Rs,-2.14,3.77,10.12,16.52,22.66,13.62,26.02,22.81,9.12,25.25,21.23,28.18,46.49
Dividend Payout %,0%,11%,6%,12%,3%,4%,2%,3%,7%,2%,3%,2%,
