,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,554.65,348.08,359.98,500.16,729.58,513.63,619.65,704.75,667.76,623.06,585.97,630.21,672.89
Expenses +,466.31,300.21,320.50,438.36,648.65,447.46,547.15,635.14,615.10,549.10,548.37,594.69,640.53
Operating Profit,88.34,47.87,39.48,61.80,80.93,66.17,72.50,69.61,52.66,73.96,37.60,35.52,32.36
OPM %,15.93%,13.75%,10.97%,12.36%,11.09%,12.88%,11.70%,9.88%,7.89%,11.87%,6.42%,5.64%,4.81%
Other Income +,4.73,5.58,6.28,6.43,6.70,5.66,6.05,6.43,6.07,3.79,4.57,3.78,5.18
Interest,9.46,5.59,7.05,10.13,9.19,9.08,12.45,15.27,14.02,13.17,10.58,10.24,10.24
Depreciation,10.22,8.72,9.06,9.85,12.38,11.85,14.36,18.73,19.94,16.74,17.93,18.74,19.25
Profit before tax,73.39,39.14,29.65,48.25,66.06,50.90,51.74,42.04,24.77,47.84,13.66,10.32,8.05
Tax %,25.29%,25.83%,27.39%,26.80%,26.19%,25.68%,25.63%,26.12%,35.08%,27.51%,25.18%,36.14%,19.63%
Net Profit +,55.22,29.04,21.55,35.36,46.00,37.85,38.52,31.08,15.52,34.68,10.22,5.05,6.46
EPS in Rs,15.34,8.07,5.99,9.82,12.78,10.51,10.70,8.63,4.31,8.75,2.58,1.27,1.63
Raw PDF,,,,,,,,,,,,,
