,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,197,193,69,82,241,206,306,717,705,580
Expenses +,137,136,26,30,177,142,232,471,472,407
Operating Profit,60,57,43,52,64,64,74,246,233,173
OPM %,31%,29%,62%,63%,27%,31%,24%,34%,33%,30%
Other Income +,45,50,1,1,8,18,38,36,41,96
Interest,0,0,5,21,41,44,75,123,91,59
Depreciation,0,0,1,2,6,5,3,3,3,3
Profit before tax,105,106,39,30,26,32,35,156,180,208
Tax %,21%,21%,27%,20%,21%,28%,33%,28%,26%,22%
Net Profit +,83,84,39,32,25,16,39,124,169,191
EPS in Rs,14.65,14.79,8.42,6.84,5.23,3.30,8.37,26.12,32.53,36.43
Dividend Payout %,3%,3%,12%,7%,0%,0%,6%,4%,3%,3%
