,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,156.80,147.90,148.12,186.25,203.92,164.88,161.71,164.44,199.65,179.95,193.36,201.43,202.82
Expenses +,130.18,123.25,123.87,156.13,171.33,136.82,135.79,144.15,163.86,149.15,158.85,166.79,166.44
Operating Profit,26.62,24.65,24.25,30.12,32.59,28.06,25.92,20.29,35.79,30.80,34.51,34.64,36.38
OPM %,16.98%,16.67%,16.37%,16.17%,15.98%,17.02%,16.03%,12.34%,17.93%,17.12%,17.85%,17.20%,17.94%
Other Income +,0.93,0.94,0.48,1.40,1.75,1.81,1.94,1.67,2.23,1.59,0.84,1.14,-13.44
Interest,5.02,6.09,6.86,6.66,9.34,10.76,11.09,10.52,9.69,9.82,12.75,13.43,12.50
Depreciation,3.79,3.89,3.88,4.14,4.29,5.48,5.79,5.74,5.86,6.81,7.12,7.10,6.76
Profit before tax,18.74,15.61,13.99,20.72,20.71,13.63,10.98,5.70,22.47,15.76,15.48,15.25,3.68
Tax %,16.54%,28.89%,29.45%,29.10%,30.90%,28.47%,27.87%,81.40%,24.66%,27.22%,29.20%,34.36%,34.51%
Net Profit +,15.64,11.10,9.87,14.69,14.31,9.75,7.92,1.06,16.93,11.47,10.96,10.01,2.41
EPS in Rs,6.27,4.45,3.96,5.89,5.74,3.91,3.18,0.40,6.42,4.35,4.15,3.79,0.91
Raw PDF,,,,,,,,,,,,,
