,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,352,367,372,484,786,"1,168","1,474","1,490"
Expenses +,320,333,334,439,699,"1,012","1,264","1,275"
Operating Profit,31,35,38,45,87,157,210,215
OPM %,9%,9%,10%,9%,11%,13%,14%,14%
Other Income +,3,3,2,2,2,3,9,10
Interest,14,18,18,18,24,30,43,61
Depreciation,3,4,4,4,4,7,11,14
Profit before tax,16,17,18,26,60,122,165,150
Tax %,31%,27%,31%,26%,26%,26%,26%,
Net Profit +,11,12,13,19,45,91,122,109
EPS in Rs,4.01,4.34,4.50,6.74,15.93,9.70,9.80,8.78
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
