,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,479,506,645,716,692,699,680,709,724,783,735,834,832
Expenses +,425,429,591,637,611,612,608,639,637,689,648,771,735
Operating Profit,54,77,54,79,81,87,71,70,87,94,86,63,97
OPM %,11%,15%,8%,11%,12%,12%,11%,10%,12%,12%,12%,8%,12%
Other Income +,8,7,18,22,5,6,13,19,9,19,10,12,13
Interest,3,3,6,8,10,11,12,14,13,13,12,15,19
Depreciation,14,15,24,24,25,23,25,26,26,28,26,32,31
Profit before tax,45,65,42,69,51,58,48,49,57,73,58,28,60
Tax %,29%,25%,35%,34%,25%,29%,31%,29%,30%,19%,35%,98%,45%
Net Profit +,32,49,27,46,38,41,33,35,40,59,38,0,33
EPS in Rs,2.29,3.51,1.97,3.31,2.75,2.96,2.39,2.51,2.91,4.27,2.75,0.03,2.41
Raw PDF,,,,,,,,,,,,,
