,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,29.73,8.97,15.46,5.20,7.91,6.96,3.40,16.62,28.28,33.98,13.87,23.39,20.62
Expenses +,18.65,10.87,13.30,7.46,11.74,14.55,9.18,13.61,15.84,20.59,10.78,16.68,22.64
Operating Profit,11.08,-1.90,2.16,-2.26,-3.83,-7.59,-5.78,3.01,12.44,13.39,3.09,6.71,-2.02
OPM %,37.27%,-21.18%,13.97%,-43.46%,-48.42%,-109.05%,-170.00%,18.11%,43.99%,39.41%,22.28%,28.69%,-9.80%
Other Income +,2.43,1.73,5.25,2.58,1.01,2.12,1.70,1.77,0.24,3.40,0.79,0.53,0.54
Interest,7.79,7.17,7.37,6.69,5.51,4.86,10.28,7.46,7.35,5.52,5.39,5.48,6.35
Depreciation,13.41,0.42,0.66,0.59,0.55,0.43,0.56,0.56,3.01,0.75,0.57,0.57,0.57
Profit before tax,-7.69,-7.76,-0.62,-6.96,-8.88,-10.76,-14.92,-3.24,2.32,10.52,-2.08,1.19,-8.40
Tax %,-37.84%,19.20%,209.68%,-15.95%,0.11%,-101.12%,0.00%,-159.26%,0.00%,-28.23%,0.00%,33.61%,-10.71%
Net Profit +,-4.78,-9.25,-1.91,-5.86,-8.89,0.12,-14.91,1.92,2.32,13.49,-2.08,0.79,-7.49
EPS in Rs,-7.97,-15.42,-3.18,-9.77,-14.82,0.20,-24.85,3.20,3.87,22.48,-3.47,1.32,-12.48
Raw PDF,,,,,,,,,,,,,
