,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,7.15,24.62,22.80,2.87,7.46,11.40,53.29,17.87,19.66,20.84,106.68,1.00,9.81
Expenses +,3.64,7.66,0.95,0.73,1.49,0.73,1.12,0.84,1.15,0.83,1.35,7.17,14.67
Operating Profit,3.51,16.96,21.85,2.14,5.97,10.67,52.17,17.03,18.51,20.01,105.33,-6.17,-4.86
OPM %,49.09%,68.89%,95.83%,74.56%,80.03%,93.60%,97.90%,95.30%,94.15%,96.02%,98.73%,-617.00%,-49.54%
Other Income +,0.07,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.01,-13.83,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Profit before tax,3.57,16.96,21.94,2.14,5.96,10.67,52.17,17.03,18.51,6.17,105.32,-6.18,-4.87
Tax %,25.77%,29.66%,28.67%,-98.60%,15.10%,21.65%,26.53%,13.92%,22.20%,52.35%,28.65%,-21.20%,-4.52%
Net Profit +,2.65,11.93,15.65,4.24,5.07,8.36,38.32,14.65,14.40,2.94,75.15,-4.86,-4.64
EPS in Rs,2.43,10.94,14.36,3.89,4.65,7.67,35.15,13.44,13.21,2.70,68.93,-4.46,-4.26
Raw PDF,,,,,,,,,,,,,
